Match Date,Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Form,Player 2 Form,Head-to-Head Record,Surface,Weather,Match Outcome
2022-07-01,Holger Rune,Casper Ruud,7,4,0.63,0.69,0-5,Grass,Windy,Casper Ruud
2022-06-21,Casper Ruud,Hubert Hurkacz,15,2,0.49,0.61,5-5,Grass,Sunny,Hubert Hurkacz
2022-06-24,Casper Ruud,Stefanos Tsitsipas,4,8,0.79,0.81,1-1,Grass,Windy,Casper Ruud
2022-07-15,Casper Ruud,Daniil Medvedev,9,15,0.65,0.7,1-0,Grass,Windy,Casper Ruud
2022-06-25,Andrey Rublev,Carlos Alcaraz,2,18,0.77,0.51,0-0,Grass,Cloudy,Andrey Rublev
2022-07-02,Casper Ruud,Holger Rune,16,7,0.63,0.83,3-0,Grass,Cloudy,Casper Ruud
2022-06-24,Novak Djokovic,Casper Ruud,9,15,0.66,0.76,2-3,Grass,Windy,Casper Ruud
2022-07-13,Jannik Sinner,Alexander Zverev,7,2,0.42,0.81,4-5,Grass,Sunny,Alexander Zverev
2022-06-21,Stefanos Tsitsipas,Novak Djokovic,2,19,0.74,0.53,3-4,Grass,Cloudy,Stefanos Tsitsipas
2022-07-02,Andrey Rublev,Carlos Alcaraz,6,3,0.7,0.52,4-0,Grass,Cloudy,Andrey Rublev
2022-07-03,Carlos Alcaraz,Taylor Fritz,8,19,0.65,0.6,4-0,Grass,Sunny,Carlos Alcaraz
2022-07-11,Frances Tiafoe,Taylor Fritz,19,17,0.71,0.53,2-2,Grass,Cloudy,Frances Tiafoe
2022-07-04,Hubert Hurkacz,Stefanos Tsitsipas,8,9,0.59,0.61,3-1,Grass,Rainy,Hubert Hurkacz
2022-06-22,Stefanos Tsitsipas,Carlos Alcaraz,1,15,0.83,0.63,4-4,Grass,Sunny,Stefanos Tsitsipas
2022-07-18,Andrey Rublev,Jannik Sinner,17,9,0.53,0.71,1-2,Grass,Sunny,Jannik Sinner
2022-07-09,Jannik Sinner,Stefanos Tsitsipas,10,6,0.66,0.79,3-4,Grass,Rainy,Stefanos Tsitsipas
2022-07-20,Frances Tiafoe,Andrey Rublev,1,18,0.67,0.54,2-5,Grass,Sunny,Frances Tiafoe
2022-06-28,Daniil Medvedev,Alexander Zverev,4,4,0.67,0.56,5-4,Grass,Cloudy,Daniil Medvedev
2022-07-06,Alexander Zverev,Taylor Fritz,7,11,0.71,0.67,1-5,Grass,Rainy,Taylor Fritz
2022-06-21,Holger Rune,Alexander Zverev,2,3,0.73,0.7,5-3,Grass,Rainy,Holger Rune
2022-07-07,Novak Djokovic,Stefanos Tsitsipas,5,9,0.56,0.62,1-5,Grass,Windy,Stefanos Tsitsipas
2022-07-07,Hubert Hurkacz,Casper Ruud,18,1,0.54,0.66,0-0,Grass,Cloudy,Casper Ruud
2022-06-21,Novak Djokovic,Stefanos Tsitsipas,19,18,0.54,0.61,1-3,Grass,Cloudy,Stefanos Tsitsipas
2022-07-11,Alexander Zverev,Stefanos Tsitsipas,2,12,0.92,0.65,1-5,Grass,Cloudy,Stefanos Tsitsipas
2022-07-19,Carlos Alcaraz,Stefanos Tsitsipas,18,14,0.6,0.6,4-5,Grass,Cloudy,Stefanos Tsitsipas
2022-07-15,Jannik Sinner,Daniil Medvedev,6,14,0.5,0.61,0-1,Grass,Rainy,Daniil Medvedev
2022-07-02,Casper Ruud,Frances Tiafoe,8,9,0.68,0.91,1-5,Grass,Sunny,Frances Tiafoe
2022-07-16,Novak Djokovic,Holger Rune,8,7,0.65,0.71,3-2,Grass,Rainy,Novak Djokovic
2022-07-17,Jannik Sinner,Hubert Hurkacz,1,7,0.74,0.56,3-2,Grass,Rainy,Jannik Sinner
2022-07-20,Carlos Alcaraz,Alexander Zverev,12,17,0.74,0.66,3-5,Grass,Rainy,Alexander Zverev
2022-06-23,Novak Djokovic,Carlos Alcaraz,9,6,0.74,0.6,4-2,Grass,Sunny,Novak Djokovic
2022-07-02,Taylor Fritz,Casper Ruud,12,11,0.77,0.5,3-4,Grass,Sunny,Taylor Fritz
2022-07-06,Taylor Fritz,Jannik Sinner,9,2,0.72,0.95,5-3,Grass,Sunny,Jannik Sinner
2022-07-09,Andrey Rublev,Frances Tiafoe,7,12,0.58,0.57,3-0,Grass,Rainy,Andrey Rublev
2022-06-30,Stefanos Tsitsipas,Frances Tiafoe,4,10,0.72,0.6,4-2,Grass,Windy,Stefanos Tsitsipas
2022-07-11,Casper Ruud,Alexander Zverev,18,5,0.41,0.71,1-3,Grass,Windy,Alexander Zverev
2022-06-29,Hubert Hurkacz,Daniil Medvedev,20,19,0.44,0.61,2-3,Grass,Sunny,Daniil Medvedev
2022-07-04,Alexander Zverev,Jannik Sinner,14,19,0.52,0.71,4-5,Grass,Rainy,Jannik Sinner
2022-07-11,Holger Rune,Hubert Hurkacz,7,17,0.6,0.55,3-5,Grass,Cloudy,Hubert Hurkacz
2022-07-11,Carlos Alcaraz,Alexander Zverev,17,20,0.66,0.43,2-0,Grass,Cloudy,Carlos Alcaraz
2022-07-05,Alexander Zverev,Jannik Sinner,7,5,0.7,0.83,0-0,Grass,Cloudy,Jannik Sinner
2022-07-12,Taylor Fritz,Carlos Alcaraz,15,14,0.44,0.63,5-4,Grass,Cloudy,Carlos Alcaraz
2022-07-18,Hubert Hurkacz,Casper Ruud,16,13,0.62,0.7,1-1,Grass,Sunny,Casper Ruud
2022-06-21,Carlos Alcaraz,Casper Ruud,8,6,0.55,0.56,5-4,Grass,Windy,Carlos Alcaraz
2022-07-20,Andrey Rublev,Jannik Sinner,4,15,0.76,0.63,1-3,Grass,Rainy,Jannik Sinner
2022-07-13,Holger Rune,Taylor Fritz,17,14,0.61,0.64,4-3,Grass,Cloudy,Holger Rune
2022-07-10,Holger Rune,Hubert Hurkacz,9,8,0.59,0.69,5-2,Grass,Windy,Holger Rune
2022-06-28,Jannik Sinner,Alexander Zverev,15,3,0.63,0.65,5-2,Grass,Cloudy,Jannik Sinner
2022-07-02,Stefanos Tsitsipas,Hubert Hurkacz,18,3,0.76,0.77,1-1,Grass,Cloudy,Hubert Hurkacz
2022-07-07,Hubert Hurkacz,Daniil Medvedev,7,3,0.56,0.79,3-3,Grass,Rainy,Daniil Medvedev
2022-07-17,Holger Rune,Casper Ruud,2,7,0.63,0.76,3-3,Grass,Sunny,Holger Rune
2022-07-17,Taylor Fritz,Casper Ruud,16,1,0.71,0.66,2-2,Grass,Windy,Casper Ruud
2022-06-28,Casper Ruud,Andrey Rublev,18,20,0.67,0.59,1-3,Grass,Cloudy,Andrey Rublev
2022-07-13,Casper Ruud,Holger Rune,1,13,0.82,0.81,2-5,Grass,Windy,Casper Ruud
2022-07-08,Daniil Medvedev,Holger Rune,5,20,0.68,0.47,4-0,Grass,Windy,Daniil Medvedev
2022-07-17,Taylor Fritz,Frances Tiafoe,1,3,0.65,0.64,5-3,Grass,Cloudy,Taylor Fritz
2022-07-04,Holger Rune,Daniil Medvedev,2,9,0.72,0.69,3-2,Grass,Cloudy,Holger Rune
2022-07-05,Stefanos Tsitsipas,Hubert Hurkacz,13,9,0.65,0.74,3-2,Grass,Sunny,Stefanos Tsitsipas
2022-07-14,Novak Djokovic,Andrey Rublev,2,12,0.73,0.78,1-5,Grass,Sunny,Andrey Rublev
2022-06-27,Frances Tiafoe,Novak Djokovic,1,8,0.71,0.94,1-0,Grass,Cloudy,Frances Tiafoe
2022-07-14,Daniil Medvedev,Holger Rune,4,19,0.77,0.47,1-3,Grass,Rainy,Daniil Medvedev
2022-07-14,Stefanos Tsitsipas,Daniil Medvedev,20,20,0.44,0.6,5-5,Grass,Sunny,Daniil Medvedev
2022-07-02,Daniil Medvedev,Alexander Zverev,4,19,0.69,0.63,0-2,Grass,Windy,Alexander Zverev
2022-06-23,Hubert Hurkacz,Jannik Sinner,3,19,0.77,0.55,5-5,Grass,Cloudy,Hubert Hurkacz
2022-07-07,Hubert Hurkacz,Alexander Zverev,20,4,0.47,0.56,4-0,Grass,Rainy,Hubert Hurkacz
2022-06-20,Casper Ruud,Frances Tiafoe,12,3,0.59,0.81,4-5,Grass,Rainy,Frances Tiafoe
2022-07-12,Casper Ruud,Holger Rune,4,14,0.73,0.49,2-5,Grass,Windy,Holger Rune
2022-07-04,Daniil Medvedev,Casper Ruud,6,17,0.71,0.62,5-2,Grass,Windy,Daniil Medvedev
2022-07-18,Casper Ruud,Taylor Fritz,9,11,0.57,0.66,1-0,Grass,Rainy,Casper Ruud
2022-06-30,Holger Rune,Jannik Sinner,15,19,0.61,0.45,4-5,Grass,Windy,Holger Rune
2022-07-15,Novak Djokovic,Holger Rune,11,6,0.68,0.75,3-1,Grass,Rainy,Novak Djokovic
2022-07-06,Alexander Zverev,Stefanos Tsitsipas,9,20,0.77,0.66,5-2,Grass,Sunny,Alexander Zverev
2022-07-12,Jannik Sinner,Carlos Alcaraz,8,14,0.53,0.52,3-4,Grass,Cloudy,Carlos Alcaraz
2022-06-27,Holger Rune,Frances Tiafoe,16,15,0.64,0.65,0-0,Grass,Rainy,Frances Tiafoe
2022-07-03,Casper Ruud,Jannik Sinner,10,19,0.7,0.95,2-3,Grass,Rainy,Jannik Sinner
2022-06-29,Hubert Hurkacz,Andrey Rublev,11,12,0.7,0.74,5-3,Grass,Rainy,Hubert Hurkacz
2022-06-26,Alexander Zverev,Jannik Sinner,4,7,0.81,0.75,2-0,Grass,Cloudy,Alexander Zverev
2022-06-23,Jannik Sinner,Holger Rune,9,19,0.63,0.64,4-4,Grass,Rainy,Jannik Sinner
2022-07-12,Jannik Sinner,Alexander Zverev,8,12,0.59,0.61,1-2,Grass,Sunny,Alexander Zverev
2022-07-12,Andrey Rublev,Daniil Medvedev,9,2,0.61,0.74,0-4,Grass,Rainy,Daniil Medvedev
2022-07-05,Daniil Medvedev,Frances Tiafoe,16,4,0.82,0.52,0-4,Grass,Rainy,Frances Tiafoe
2022-06-23,Holger Rune,Hubert Hurkacz,11,6,0.71,0.53,0-2,Grass,Windy,Hubert Hurkacz
2022-06-24,Carlos Alcaraz,Casper Ruud,16,3,0.54,0.83,4-5,Grass,Sunny,Casper Ruud
2022-07-09,Daniil Medvedev,Taylor Fritz,10,3,0.66,0.61,1-0,Grass,Windy,Daniil Medvedev
2022-06-29,Taylor Fritz,Hubert Hurkacz,8,17,0.6,0.65,3-3,Grass,Windy,Hubert Hurkacz
2022-07-20,Taylor Fritz,Casper Ruud,10,19,0.58,0.58,4-0,Grass,Sunny,Taylor Fritz
2022-06-27,Jannik Sinner,Frances Tiafoe,7,9,0.68,0.59,5-0,Grass,Cloudy,Jannik Sinner
2022-07-12,Daniil Medvedev,Andrey Rublev,3,6,0.93,0.75,0-3,Grass,Windy,Andrey Rublev
2022-07-12,Taylor Fritz,Holger Rune,10,2,0.45,0.75,1-2,Grass,Rainy,Holger Rune
2022-07-03,Holger Rune,Carlos Alcaraz,8,9,0.6,0.75,5-4,Grass,Cloudy,Holger Rune
2022-06-21,Carlos Alcaraz,Andrey Rublev,8,5,0.59,0.69,2-1,Grass,Sunny,Carlos Alcaraz
2022-07-04,Daniil Medvedev,Alexander Zverev,20,19,0.6,0.65,2-3,Grass,Sunny,Alexander Zverev
2022-07-04,Hubert Hurkacz,Alexander Zverev,13,9,0.5,0.63,4-4,Grass,Windy,Alexander Zverev
2022-06-20,Carlos Alcaraz,Taylor Fritz,2,14,0.68,0.54,5-2,Grass,Rainy,Carlos Alcaraz
2022-07-08,Carlos Alcaraz,Jannik Sinner,19,19,0.74,0.6,0-5,Grass,Rainy,Jannik Sinner
2022-06-25,Novak Djokovic,Daniil Medvedev,16,17,0.46,0.67,5-3,Grass,Rainy,Novak Djokovic
2022-06-30,Taylor Fritz,Casper Ruud,16,3,0.8,0.82,3-2,Grass,Windy,Casper Ruud
2022-06-29,Stefanos Tsitsipas,Frances Tiafoe,4,6,0.56,0.64,2-3,Grass,Windy,Frances Tiafoe
2022-06-28,Frances Tiafoe,Casper Ruud,18,2,0.7,0.66,3-0,Grass,Rainy,Frances Tiafoe
2022-07-03,Stefanos Tsitsipas,Carlos Alcaraz,13,17,0.66,0.66,0-5,Grass,Windy,Carlos Alcaraz
2022-07-14,Novak Djokovic,Jannik Sinner,17,12,0.49,0.62,4-3,Grass,Windy,Novak Djokovic
2022-07-18,Novak Djokovic,Jannik Sinner,9,18,0.34,0.47,1-2,Grass,Windy,Jannik Sinner
2022-07-12,Hubert Hurkacz,Holger Rune,4,1,0.68,0.62,5-4,Grass,Cloudy,Holger Rune
2022-06-27,Daniil Medvedev,Alexander Zverev,18,1,0.73,0.6,4-3,Grass,Sunny,Alexander Zverev
2022-07-06,Carlos Alcaraz,Holger Rune,4,5,0.67,0.71,3-5,Grass,Rainy,Holger Rune
2022-07-07,Hubert Hurkacz,Alexander Zverev,14,16,0.75,0.45,3-1,Grass,Windy,Hubert Hurkacz
2022-07-17,Daniil Medvedev,Casper Ruud,7,20,0.8,0.55,4-5,Grass,Cloudy,Daniil Medvedev
2022-06-29,Carlos Alcaraz,Alexander Zverev,14,11,0.51,0.69,4-2,Grass,Sunny,Carlos Alcaraz
2022-07-04,Hubert Hurkacz,Alexander Zverev,19,19,0.58,0.5,5-3,Grass,Cloudy,Hubert Hurkacz
2022-07-04,Andrey Rublev,Holger Rune,12,11,0.64,0.6,4-4,Grass,Windy,Andrey Rublev
2022-06-21,Stefanos Tsitsipas,Jannik Sinner,8,19,0.68,0.63,3-1,Grass,Windy,Stefanos Tsitsipas
2022-07-05,Stefanos Tsitsipas,Holger Rune,13,13,0.78,0.5,5-5,Grass,Cloudy,Stefanos Tsitsipas
2022-06-23,Novak Djokovic,Daniil Medvedev,17,19,0.79,0.36,2-0,Grass,Windy,Novak Djokovic
2022-06-22,Andrey Rublev,Holger Rune,1,5,0.72,0.76,3-5,Grass,Cloudy,Andrey Rublev
2022-07-17,Holger Rune,Alexander Zverev,11,20,0.67,0.49,5-3,Grass,Sunny,Holger Rune
2022-07-17,Stefanos Tsitsipas,Frances Tiafoe,18,13,0.55,0.57,2-5,Grass,Windy,Frances Tiafoe
2022-06-27,Andrey Rublev,Novak Djokovic,20,3,0.49,0.8,1-5,Grass,Rainy,Novak Djokovic
2022-07-04,Hubert Hurkacz,Carlos Alcaraz,14,4,0.65,0.64,5-5,Grass,Sunny,Carlos Alcaraz
2022-07-01,Daniil Medvedev,Alexander Zverev,1,2,0.83,0.76,2-0,Grass,Rainy,Daniil Medvedev
2022-06-25,Stefanos Tsitsipas,Casper Ruud,5,8,0.78,0.73,4-3,Grass,Cloudy,Stefanos Tsitsipas
2022-07-05,Daniil Medvedev,Carlos Alcaraz,20,13,0.47,0.56,4-5,Grass,Cloudy,Carlos Alcaraz
2022-06-28,Taylor Fritz,Daniil Medvedev,8,15,0.74,0.66,5-2,Grass,Windy,Taylor Fritz
2022-06-22,Frances Tiafoe,Novak Djokovic,15,10,0.6,0.66,5-4,Grass,Cloudy,Frances Tiafoe
2022-07-04,Holger Rune,Stefanos Tsitsipas,19,10,0.69,0.59,5-3,Grass,Rainy,Holger Rune
2022-07-08,Alexander Zverev,Jannik Sinner,13,16,0.67,0.57,0-1,Grass,Windy,Jannik Sinner
2022-06-28,Stefanos Tsitsipas,Taylor Fritz,10,10,0.63,0.76,0-5,Grass,Windy,Taylor Fritz
2022-07-14,Novak Djokovic,Taylor Fritz,2,20,0.81,0.63,5-3,Grass,Rainy,Novak Djokovic
2022-07-11,Jannik Sinner,Taylor Fritz,12,8,0.76,0.67,5-1,Grass,Rainy,Jannik Sinner
2022-06-29,Hubert Hurkacz,Frances Tiafoe,5,4,0.77,0.68,5-5,Grass,Sunny,Hubert Hurkacz
2022-07-19,Holger Rune,Novak Djokovic,19,12,0.59,0.62,5-1,Grass,Sunny,Holger Rune
2022-07-06,Alexander Zverev,Stefanos Tsitsipas,14,6,0.62,0.75,1-1,Grass,Rainy,Stefanos Tsitsipas
2022-07-15,Andrey Rublev,Alexander Zverev,6,9,0.61,0.87,3-2,Grass,Rainy,Alexander Zverev
2022-07-20,Carlos Alcaraz,Holger Rune,3,5,0.62,0.58,1-5,Grass,Windy,Holger Rune
2022-07-04,Andrey Rublev,Stefanos Tsitsipas,3,13,0.84,0.7,0-2,Grass,Sunny,Stefanos Tsitsipas
2022-06-23,Stefanos Tsitsipas,Frances Tiafoe,9,19,0.72,0.62,3-5,Grass,Rainy,Frances Tiafoe
2022-07-19,Frances Tiafoe,Jannik Sinner,16,1,0.59,0.65,4-4,Grass,Rainy,Jannik Sinner
2022-06-23,Taylor Fritz,Jannik Sinner,3,15,0.73,0.53,5-2,Grass,Windy,Taylor Fritz
2022-06-27,Daniil Medvedev,Novak Djokovic,2,10,0.83,0.64,3-0,Grass,Sunny,Daniil Medvedev
2022-07-08,Andrey Rublev,Daniil Medvedev,13,15,0.54,0.57,2-5,Grass,Windy,Daniil Medvedev
2022-07-20,Hubert Hurkacz,Daniil Medvedev,14,4,0.65,0.65,3-4,Grass,Windy,Daniil Medvedev
2022-07-17,Alexander Zverev,Novak Djokovic,12,7,0.55,0.7,3-3,Grass,Cloudy,Novak Djokovic
2022-07-02,Stefanos Tsitsipas,Carlos Alcaraz,12,18,0.65,0.52,5-2,Grass,Sunny,Stefanos Tsitsipas
2022-07-10,Alexander Zverev,Jannik Sinner,4,15,0.66,0.62,0-5,Grass,Cloudy,Jannik Sinner
2022-07-15,Frances Tiafoe,Taylor Fritz,1,2,0.6,0.59,2-1,Grass,Cloudy,Frances Tiafoe
2022-07-16,Taylor Fritz,Jannik Sinner,3,18,0.65,0.55,1-4,Grass,Cloudy,Jannik Sinner
2022-06-24,Jannik Sinner,Stefanos Tsitsipas,5,20,0.73,0.7,0-2,Grass,Cloudy,Stefanos Tsitsipas
2022-06-20,Andrey Rublev,Alexander Zverev,6,4,0.78,0.69,5-0,Grass,Cloudy,Andrey Rublev
2022-06-21,Stefanos Tsitsipas,Jannik Sinner,19,11,0.56,0.54,0-1,Grass,Rainy,Jannik Sinner
2022-07-04,Daniil Medvedev,Casper Ruud,17,4,0.58,0.68,5-0,Grass,Windy,Daniil Medvedev
2022-07-20,Stefanos Tsitsipas,Andrey Rublev,19,4,0.59,0.63,3-4,Grass,Cloudy,Andrey Rublev
2022-06-21,Taylor Fritz,Novak Djokovic,17,10,0.63,0.8,3-5,Grass,Sunny,Novak Djokovic
2022-06-22,Holger Rune,Casper Ruud,14,4,0.6,0.75,3-5,Grass,Windy,Casper Ruud
2022-07-09,Carlos Alcaraz,Stefanos Tsitsipas,20,5,0.62,0.66,0-1,Grass,Rainy,Stefanos Tsitsipas
2022-07-04,Frances Tiafoe,Taylor Fritz,18,11,0.59,0.64,3-4,Grass,Rainy,Taylor Fritz
2022-07-03,Andrey Rublev,Taylor Fritz,14,4,0.62,0.63,5-0,Grass,Cloudy,Andrey Rublev
2022-07-13,Holger Rune,Jannik Sinner,14,11,0.61,0.69,3-3,Grass,Windy,Jannik Sinner
2022-07-20,Carlos Alcaraz,Stefanos Tsitsipas,14,11,0.76,0.74,5-2,Grass,Rainy,Carlos Alcaraz
2022-07-03,Daniil Medvedev,Frances Tiafoe,16,3,0.81,0.64,0-0,Grass,Sunny,Frances Tiafoe
2022-07-11,Carlos Alcaraz,Stefanos Tsitsipas,5,18,0.79,0.59,0-4,Grass,Rainy,Stefanos Tsitsipas
2022-07-09,Carlos Alcaraz,Casper Ruud,12,14,0.85,0.53,5-0,Grass,Rainy,Carlos Alcaraz
2022-07-11,Alexander Zverev,Stefanos Tsitsipas,4,19,0.63,0.5,4-1,Grass,Cloudy,Alexander Zverev
2022-07-14,Holger Rune,Jannik Sinner,4,12,0.5,0.58,4-2,Grass,Sunny,Holger Rune
2022-07-09,Alexander Zverev,Taylor Fritz,8,14,0.59,0.63,4-4,Grass,Sunny,Taylor Fritz
2022-07-19,Frances Tiafoe,Alexander Zverev,1,6,0.77,0.88,2-5,Grass,Rainy,Alexander Zverev
2022-06-22,Stefanos Tsitsipas,Hubert Hurkacz,1,6,0.84,0.63,1-4,Grass,Windy,Stefanos Tsitsipas
2022-07-02,Daniil Medvedev,Frances Tiafoe,1,3,0.65,0.77,5-4,Grass,Cloudy,Daniil Medvedev
2022-07-14,Casper Ruud,Holger Rune,11,6,0.51,0.87,2-2,Grass,Rainy,Holger Rune
2022-07-11,Taylor Fritz,Hubert Hurkacz,3,2,0.84,0.68,1-1,Grass,Sunny,Taylor Fritz
2022-07-03,Carlos Alcaraz,Alexander Zverev,15,14,0.43,0.75,3-4,Grass,Windy,Alexander Zverev
2022-06-29,Alexander Zverev,Jannik Sinner,17,4,0.57,0.83,2-3,Grass,Sunny,Jannik Sinner
2022-06-21,Frances Tiafoe,Hubert Hurkacz,19,16,0.4,0.53,4-5,Grass,Rainy,Hubert Hurkacz
2022-07-20,Jannik Sinner,Casper Ruud,20,2,0.55,0.73,0-1,Grass,Rainy,Casper Ruud
2022-07-05,Jannik Sinner,Daniil Medvedev,9,10,0.61,0.71,2-0,Grass,Sunny,Jannik Sinner
2022-07-06,Hubert Hurkacz,Casper Ruud,6,5,0.58,0.69,3-4,Grass,Cloudy,Casper Ruud
2022-07-03,Andrey Rublev,Frances Tiafoe,12,3,0.64,0.77,3-5,Grass,Sunny,Frances Tiafoe
2022-07-12,Novak Djokovic,Holger Rune,3,11,0.79,0.53,4-3,Grass,Windy,Novak Djokovic
2022-06-25,Frances Tiafoe,Casper Ruud,10,4,0.5,0.84,3-0,Grass,Rainy,Frances Tiafoe
2022-07-03,Taylor Fritz,Holger Rune,12,3,0.66,0.65,3-0,Grass,Cloudy,Taylor Fritz
2022-06-27,Taylor Fritz,Casper Ruud,17,3,0.74,0.73,3-2,Grass,Rainy,Casper Ruud
2022-07-18,Stefanos Tsitsipas,Daniil Medvedev,3,17,0.84,0.59,5-0,Grass,Cloudy,Stefanos Tsitsipas
2022-06-26,Stefanos Tsitsipas,Hubert Hurkacz,5,8,0.91,0.85,0-1,Grass,Rainy,Hubert Hurkacz
2022-07-04,Daniil Medvedev,Taylor Fritz,5,3,0.68,0.82,1-5,Grass,Windy,Taylor Fritz
2022-07-17,Taylor Fritz,Hubert Hurkacz,15,19,0.66,0.7,5-5,Grass,Rainy,Hubert Hurkacz
2022-07-10,Frances Tiafoe,Stefanos Tsitsipas,5,15,0.6,0.67,0-3,Grass,Windy,Stefanos Tsitsipas
2022-06-29,Alexander Zverev,Hubert Hurkacz,19,2,0.67,0.55,2-4,Grass,Sunny,Hubert Hurkacz
2022-07-10,Holger Rune,Hubert Hurkacz,2,2,0.61,0.53,2-2,Grass,Sunny,Holger Rune
2022-07-04,Carlos Alcaraz,Taylor Fritz,20,17,0.52,0.65,3-3,Grass,Sunny,Taylor Fritz
2022-07-20,Taylor Fritz,Frances Tiafoe,7,11,0.83,0.65,4-3,Grass,Cloudy,Taylor Fritz
2022-06-21,Novak Djokovic,Holger Rune,4,11,0.87,0.5,5-0,Grass,Cloudy,Novak Djokovic
2022-07-01,Jannik Sinner,Holger Rune,15,17,0.43,0.57,4-4,Grass,Cloudy,Holger Rune
2022-07-15,Stefanos Tsitsipas,Alexander Zverev,13,14,0.66,0.61,2-5,Grass,Sunny,Alexander Zverev
2022-06-29,Frances Tiafoe,Hubert Hurkacz,11,3,0.43,0.71,2-0,Grass,Windy,Hubert Hurkacz
2022-07-19,Alexander Zverev,Frances Tiafoe,20,5,0.42,0.77,2-0,Grass,Cloudy,Frances Tiafoe
2022-06-29,Stefanos Tsitsipas,Alexander Zverev,13,5,0.66,0.61,4-5,Grass,Sunny,Alexander Zverev
2022-07-10,Andrey Rublev,Casper Ruud,11,5,0.59,0.59,5-5,Grass,Sunny,Casper Ruud
2022-06-25,Frances Tiafoe,Casper Ruud,17,12,0.57,0.73,0-2,Grass,Rainy,Casper Ruud
2022-06-22,Jannik Sinner,Stefanos Tsitsipas,16,7,0.49,0.73,1-1,Grass,Cloudy,Stefanos Tsitsipas
